trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.2, 'e': 0.013568559012200934}",20,3,-9.53836921703114,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
43,False,"{'a': 0.2, 'e': 0.012277339903068436}",20,10,18.3802675460987,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
44,False,"{'a': 0.2, 'e': 0.011108996538242306}",20,10,18.534956972458517,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
45,False,"{'a': 0.2, 'e': 0.010051835744633576}",35,18,32.387704265699284,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
46,False,"{'a': 0.2, 'e': 0.009095277101695816}",20,15,7.563030192734617,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
47,False,"{'a': 0.2, 'e': 0.008229747049020023}",30,10,21.917237746453296,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
48,False,"{'a': 0.2, 'e': 0.007446583070924338}",35,24,23.3396497451,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
49,False,"{'a': 0.2, 'e': 0.006737946999085467}",25,15,19.965369157176738,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
50,False,"{'a': 0.2, 'e': 0.006096746565515633}",25,15,17.615522612981536,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
51,False,"{'a': 0.2, 'e': 0.0055165644207607716}",20,3,31.49900769900649,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
52,False,"{'a': 0.2, 'e': 0.004991593906910213}",25,12,12.639959128450231,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
53,False,"{'a': 0.2, 'e': 0.004516580942612666}",20,10,23.61089518796528,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
54,False,"{'a': 0.2, 'e': 0.004086771438464067}",25,14,20.380681558562333,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
