emo	emo_text_points	judg	neg	negations	obj	pos	hate	aggressive
2	4	0	0.016796875	0	0.90078125	0.002734375	0	
0	5	0	0.0176174496644	1	0.865037751678	0.0147860738255	0	
0	2	0	0.0186141304348	1	0.898641304348	0.00747282608696	0	
0	3	1	0.033203125	1	0.786458333333	0.044921875	0	
1	9	0	0.0172211021505	4	0.860215053763	0.0267977150538	0	
1	5	0	0.0585200471698	0	0.794663915094	0.0203419811321	0	
0	31	1	0.0278415226782	9	0.844424946004	0.0270990820734	0	
0	9	0	0.0277149321267	4	0.86439479638	0.0164027149321	0	
1	10	0	0.0170584862385	2	0.895928899083	0.0153383027523	0	
1	7	0	0.0376712328767	3	0.831549657534	0.0134845890411	0	
3	41	1	0.0183794070513	13	0.884264823718	0.0162259615385	0	
3	10	1	0.0119724025974	0	0.873863636364	0.0258522727273	0	
1	6	1	0.0295305023923	7	0.820200358852	0.028259569378	0	
0	4	0	0.0	0	0.986213235294	0.000919117647059	0	
0	4	0	0.0025	0	0.93375	0.01125	0	
0	4	0	0.0	0	0.986213235294	0.000919117647059	0	
7	6	1	0.0227293429603	4	0.860785198556	0.0173845776173	0	
2	9	0	0.0259009009009	1	0.847832207207	0.0153434684685	0	
0	13	1	0.0421525186567	10	0.784923041045	0.029734141791	0	
2	9	0	0.0126329787234	4	0.86602393617	0.0189494680851	0	
1	0	0	0.046875	0	0.808333333333	0.015625	0	
1	7	0	0.0120192307692	0	0.911057692308	0.00360576923077	0	
2	6	1	0.0230718085106	5	0.849667553191	0.0239361702128	0	
0	0	1	0.00883152173913	0	0.841711956522	0.0557065217391	0	
0	1	0	0.0217013888889	1	0.904513888889	0.0217013888889	0	
4	14	0	0.0455302254098	4	0.861168032787	0.0155609631148	0	
5	4	0	0.0141163793103	8	0.917887931034	0.00915948275862	0	
1	4	0	0.0323863636364	2	0.824147727273	0.0184659090909	0	
2	10	1	0.0504807692308	0	0.817908653846	0.0186298076923	0	
1	31	0	0.0212572674419	3	0.871911337209	0.015625	0	
3	2	0	0.05078125	1	0.831380208333	0.00716145833333	0	
0	0	0	0.0	0	1.0	0.0	0	
2	4	0	0.0174365942029	0	0.874547101449	0.023777173913	0	
